Date,Open,High,Low,Close,Volume ,Market Cap
2018-01-15,1015999.97,1792960.27,873757.35,1006452.62,13.86682345,2.35E+11
2018-01-14,957999.39,1542303.17,844849.44,1045399.61,7.46376685,2.33E+11
2018-01-13,1068752.87,1590204.34,749994.64,750000,14.81536055,2.44E+11
2018-01-12,903310.1,2.00E+06,850800.58,1041523.46,13.27161498,2.34E+11
2018-01-11,1089999.94,2.00E+06,812711.72,1005793.88,15.22898265,2.23E+11
2018-01-10,1007000,2.00E+06,850000.43,1089999.83,12.31030591,2.54E+11
2018-01-09,1225114.85,2.00E+06,867816.76,1107488.7,16.98843681,2.47E+11
2018-01-08,1006565.43,1999000.5,892697.73,1128999.48,13.89727892,2.56E+11
2018-01-07,1105946.59,1886673.79,980000.33,1172849.32,9.27729177,2.80E+11
2018-01-06,1076100.19,2.00E+06,9.00E+05,1217267.67,16.66341653,2.91E+11
2018-01-05,1095000.01,1650028.88,894214.43,1167996.29,15.84990579,2.88E+11
2018-01-04,1037363.37,1610046.69,899983.93,1222426.9,15.57840478,2.55E+11
2018-01-03,1261845.58,1701258.93,958749.08,1115000.4,12.31559352,2.53E+11
2018-01-02,1203208.56,2.00E+06,872623.19,1029000.1,14.88043615,2.52E+11
2018-01-01,990000,1518741.27,862877.91,1106827.86,11.47704154,2.32E+11
2017-12-31,1106454.17,1800000,914288.24,1082260.45,8.69125147,2.38E+11
2017-12-30,1230012.3,1800000,869187.31,1189598.15,17.92139122,2.22E+11
2017-12-29,1.00E+06,1800007.2,964999.99,1182267.67,12.45488072,2.46E+11
2017-12-28,1114999.97,1800004.11,1.00E+06,1650001.65,22.51939246,2.41E+11
2017-12-27,1217849.09,1898974.55,900009,1088000.06,14.32042167,2.61E+11
2017-12-26,1151874.68,1755807.67,941610.72,1150117.7,25.30435668,2.68E+11
2017-12-25,1116796.85,1799001.19,877117.15,1182997.95,10.30716975,2.37E+11
2017-12-24,1243997.71,2198984.27,911953.96,1099899.47,5.93266659,2.34E+11
2017-12-23,1268005.68,1999028.55,891116.28,1163180.23,10.20847187,2.57E+11
2017-12-22,1099999.89,2233788.28,790000,1051544.06,15.33232062,2.55E+11
2017-12-21,1201036.32,1999800.02,807802.78,807802.78,10.91277614,2.69E+11
2017-12-20,1275238.33,1664031.95,937280.32,1245615.05,17.27557181,2.69E+11
2017-12-19,1280100.11,2.00E+06,8.00E+05,1265119.56,12.19594942,2.97E+11
2017-12-18,1430000.15,1969861.12,1102997.95,1280099.95,24.14239427,3.18E+11
2017-12-17,1454896.75,1999880.01,950001.43,1999880.01,9.9034289,3.23E+11
2017-12-16,1192999.94,2.00E+06,1131894.74,1258214.57,28.26663284,3.27E+11
2017-12-15,1344999.86,2018124.57,1080434.77,1321298.33,36.07884974,2.98E+11
2017-12-14,1351319.94,3000002.31,1102997.95,1335098.63,30.34908173,2.79E+11
2017-12-13,1185029.29,1999866.68,977936.99,1387950.74,23.73188032,2.81E+11
2017-12-12,1247364.94,2.00E+06,963669.65,1345472.36,19.63277298,2.89E+11
2017-12-11,1158400,1944660.52,972006.22,1232208.45,18.30878796,2.81E+11
2017-12-10,1018000.74,2220000.25,684978.42,1860465.12,14.05057216,2.49E+11
2017-12-09,1399988.33,2.00E+06,886585.37,1731361.89,8.93125306,2.53E+11
2017-12-08,1192774,2.00E+06,950000.86,1147592.31,11.80793486,2.68E+11
2017-12-07,1052884.33,1784598.91,875005.08,1246224.72,17.03615045,2.76E+11
2017-12-06,843139.75,1997998.01,685001.88,905000,16.93055045,2.26E+11
2017-12-05,880049.28,2.00E+06,743583.99,840952.5,25.90143257,1.99E+11
2017-12-04,853556.94,1258046.25,700001.08,861000.14,15.69421455,1.94E+11
2017-12-03,771600.02,1887736.32,600002.4,840989.14,15.74044161,1.89E+11
2017-12-02,760000.08,1773125.1,599988,746392.87,16.96818907,1.85E+11
2017-12-01,893623.11,1659266.34,630843.19,853863.65,26.25150343,1.82E+11
2017-11-30,857624.84,1198698.79,578171.04,744042.74,27.77381611,1.70E+11
2017-11-29,705999.89,1168116.14,577000.75,750000,42.42425625,1.65E+11
2017-11-28,744952.2,1034943.84,572122.57,762805.6,37.51603535,1.66E+11
2017-11-27,686865.24,938469.38,555789.47,726998.85,17.96452328,1.62E+11
2017-11-26,636398.95,871459.69,562844.74,688940.1,13.64745812,1.55E+11
2017-11-25,549000.09,837324.32,519291.69,622524.58,13.38499371,1.45E+11
2017-11-24,579999.98,784609.11,528708.89,563400.01,11.50325576,1.38E+11
2017-11-23,585596.66,796844.5,486397.09,590318.77,12.58060915,1.36E+11
2017-11-22,649873.92,799000,479956.88,553213.85,15.86469483,1.38E+11
2017-11-21,590367.91,811424.86,528697.71,572295.65,14.92765099,1.35E+11
2017-11-20,675538.74,747430.71,494279.02,590367.56,18.54575363,1.38E+11
2017-11-19,585698.87,728995.81,473882.61,559015.11,13.25855573,1.34E+11
2017-11-18,516810.29,806177.55,450809.46,532350,13.55184838,1.30E+11
2017-11-17,544224.13,679388.55,425000.21,501825.71,22.05737636,1.30E+11
2017-11-16,476184,683223.45,472400.04,503486.01,16.13025712,1.30E+11
2017-11-15,592929.9,649392.82,408399.1,476183.9,15.3315332,1.22E+11
2017-11-14,595943.12,595943.12,424998.41,488000.08,14.64592172,1.11E+11
2017-11-13,466499.98,609069.04,415712.93,488000,14.84895475,1.09E+11
2017-11-12,476999.96,580012.76,354837.1,449599.99,15.07915253,95327831901
2017-11-11,482604.17,666485.97,397519.48,501997.95,16.22387632,1.06E+11
2017-11-10,507999.98,625703.92,446104,487006.66,17.82728355,1.12E+11
2017-11-09,465000.35,706026.33,447930,504999.99,12.85391236,1.19E+11
2017-11-08,473450.67,626486.92,438404.21,472000,16.64287278,1.24E+11
2017-11-07,482086.86,633681.44,464999.29,579307.15,12.98458778,1.18E+11
2017-11-06,633030.58,638141.73,456033.1,503706.44,11.42486745,1.16E+11
2017-11-05,540999.66,659181.3,465000.03,485309.02,8.5019409,1.23E+11
2017-11-04,473699.99,616725.6,425294,475999.98,13.41514604,1.24E+11
2017-11-03,484414.92,619386.81,53000,496000.01,19.48811007,1.20E+11
2017-11-02,499900.02,751298.67,446857.47,484773.58,26.85021688,1.18E+11
2017-11-01,436690.99,571701.35,380971.9,498999.51,39.01860606,1.11E+11
2017-10-31,478162.93,491767.09,320000,467054.01,17.15990933,1.06E+11
2017-10-30,390000.87,496253.29,171242.1,423655.54,25.03890183,1.02E+11
2017-10-29,410066.31,453075.4,320000,384234.38,12.02631207,1.03E+11
2017-10-28,392999.98,607201.13,369509.29,401074.88,12.08810477,96190524846
2017-10-27,380200.01,480342.31,341856.97,407940.15,16.58601771,96114589131
2017-10-26,390774.75,436490.62,359485.61,414322.29,14.17592463,98115524477
2017-10-25,382998.98,434802.69,320000.21,382840.96,16.8320052,94381426739
2017-10-24,385880.55,551322.93,351058.65,391429.26,16.90159577,91642025554
2017-10-23,393227.44,486125.96,343983.44,376708.99,20.03486064,97792438828
2017-10-22,458526.3,488346.43,354415.63,387562.38,11.48431217,99562135447
2017-10-21,387509.93,594318.32,356938.89,370435.47,16.82357364,1.00E+11
2017-10-20,389900.03,461190.79,299999.4,396512.28,16.44932048,99475116074
2017-10-19,394919.31,507567.84,299999.4,368499.01,14.31040276,95272882876
2017-10-18,336000.54,447520.03,3.00E+05,404301.77,34.25054204,92242198388
2017-10-17,360290.29,453644.3,299999.94,348205,21.36825979,93188555403
2017-10-16,347001.13,431067,333734.7,360834,24.85621778,94964431959
